title,description
Task 01,Descrição da Task 01: Revisar o cronograma do projeto
Task 02,Descrição da Task 02: Planejar a reunião com a equipe
Task 03,Descrição da Task 03: Atualizar documentação técnica
Task 04,Descrição da Task 04: Desenvolver a funcionalidade de login
Task 05,Descrição da Task 05: Testar integração com API externa
Task 06,Descrição da Task 06: Corrigir bugs da interface
Task 07,Descrição da Task 07: Realizar testes de usabilidade
Task 08,Descrição da Task 08: Revisar e otimizar consultas de banco de dados
Task 09,Descrição da Task 09: Documentar o processo de deploy
Task 10,Descrição da Task 10: Planejar o lançamento da nova versão